,tweet
0,مبسوط ان الحكم ماحسب بلنتي 😭😂
1,"عندما تصادف اي كلام او غيره عن الاهلي … تذكر الخطيب و هو يقول: النادى الأهلى ليس بسباب ولا فاحش ولا بذئ…
ترفّع؛ ففي ذلك أبلغ الردود (ولا تسقط في فخ انا كده هبقى ضعيف و انهم علّموا عليا) 😉 #الخطيب_اسطورة_مصرية"
2,بوبو فى النادى الاهلى ..... 😉😉
3,هما محروقين كده ليه اوي علي كلاتينبرج و سمعة مصر دلوقتي مهمة عندهم. كانت فين الوطنية دي لما اتلغي تجمع المنتخب عشان الأهلي يرتاح و بسببكم تصنيفنا نزل و لاعبنا السنغال و لم نصعد كأس العالم. بلاش و حياتكم دور الوطنية ده عشان مش لايق عليكم خالص. اد كده كلاتينبرج مهم 😉
4,"والله مهزله على تأجيل الدوري 😂😂

كل هذا عشان خاطر الدياي؟ 

تدرون اذا بنستمر راح نجلدكم نادي ورا الثاني"
5,"#الهلال_الفتح 

عزيزي الحكم ترى الهلال لابس ابيض 😉"
6,قولتلكم بعد التعادلين بتوعنا، الأهلاوي ميرميش الفوطة بدري والدوري لسه في الملعب. ناس أتفقوا معايا وناس قالوا سيناريو الموسمين اللي فاتوا بيتكرر، وأنا مع إحترامي مكنتش مقتنعة بالكلام ده لأن الأهلي مع كولر حاجة تانية. خليكم واثقين في اللاعيبة وفي ضهر النادي دايما مهما حصل. 😉🦅❤
7,"#مساحة 
من برا #الاهلي
ومن جوا #كلام_نواعم😉
بس اصواتهم 🎵🎶"
8,المشكله بعض عقليات الجمهور يقلك الدوري اقوى من اسيا😂😂ف  المشكله انا مسيطر ب اسيا ومسيطر  ثلاث سنين بالدوري كملو صياحكم وسلكو لي بعض وقولو ضعيفه وقولو الدوري اقوى في النهايه الهلال كعبه عالي ع الجميع بالدوري ولا تبونها اسيا اختارو😉💙ويكند جميل للجميع #الهلال_الوحده
9,"انتقل للزمالك كلاعب حر بعد مد الإعارة 😂😉
دي شقة في عمارة استعارة ياعم استعارة 
#اتحاد_علام_خدامين_الزمالك"
10,#القادسيه_العربي الحكم السمحان نجم المباراة اليوم 💚💪😉
11,أحمد الطيب: فوز الزمالك يساهم في زيادة الإنتاج و خروج مصر ان شاء الله من  عثرة الموقف الإقتصادى.. 😂😂😂
