,tweet
0,مباراة الهلال وصن فكرتني بأغنية الفول صديقي وانا عمله نفسي نايمه  ولسان حاله بيقول دا أنت فريق جبله أعملك ميت علشان تفوز ههههه الاهلي رجع هههه أكبر سلام وتحية لأطهر الطاهر موعدنا ٣/٣١ مع طاهر محمد طاهر وكهربا وبيرسي ٠/٣ أن شاء الله.
1,صباااااح غريب بس حلو هههه
2,والله ماعندي مشكله برشلونه يحقق الدوري لو بفارق ٥٠ نقطه لكن المدرب تشافي هههه شر البليه م يضحك
3,"يحيا العدل يحيا العدل 
تسلل واضح هههه"
4,صاروخ كريستيانو عبد الفتاح ادم النصراوي يضيع انفراديه يسمح لصاروخ كريستيانو كوبري واضح وضوح الشمس تضحكون على مين غير الحكم معاكم نحر ابها والله العظيم الدوري ما تحلمون به اتحادي ولا هلالي صور يا ايمن الجاسوس هههه
5,دفاع حواري هههه
6,"#الاهلي
سعد ناطق العراقي تم التعاقد مع ابها خلال ايام وبعقد لايتجاوز الموسم ٤٠٠ ألف دولار
هههه عندما اراد الاهلي التعاقد مع ناطق العراقي في عهد مؤمنه دخلت السماسرة والادارة ورفعوا عقد اللاعب الى ملايين وكلا يريد نصيبه من الكعكه 
فرق بين ادارات فاشلة سماسرة وادارات محترفه ونزيهه"
7,"يبغون الدوري هههه

على ارضك وهذا لعبك وقدام مين ابها 

كرات مقطوعه ولا في شكل ولا طعم ولا لون 

#النصر_ابها"
8,تم طمس الحكم هههه
9,"مسلسل هابط بين صن دوانز والهلال الخدم 
بإذن الله يمكرون ويمكر الله والله خير الماكرين 
حارس مرمي صن دوانز يعطي الكورة لمهاحم الهلال 
هههه واللي حلوة"
10,الحكم معتل و الله هههه
11,هههههه الحكم رفض يشوف الفار هههه مو علي كيفك يا كلب
12,"الحكم يتغاضى عن طرد لى لاعب الهلال
التعريض بقي من الكل هههه"
13,وصلنا لمرحله ان لعيبه الزمالك مش عارفه تباصي الكوره هههه يعني ا  ب  كوره مش عارفنها هههه طب انا هردا زمتكم في فريق بيضم المجموعه دي وعايزينو يكسب 🇦🇹ربنا يرحمنا برحمته
14,المحكمة العليا تصدر حكما بالقبض على بوتين..مهزلة..هههه...عمر البشير لما تعرض لنفس الحكم رقص رقصة سودانية بعصاه استهزاء بالمحكمة
15,فين بتوع الزمالك هههههههههههه باى باى زمالك ياشويه حصاله هههه
16,"#شباب_بلوزداد_الزمالك 
الزمالك اتشطف خلاص هههه"
17,الزمالك خد في المصلحة هههه🤣🤣🤣🤣🦅🦅🦅🦅🦅❤️❤️❤️🌶🌶🌶
18,هو الاهلي بيلاعب الزمالك ولا ايه هههه
19,المباراه بين الاتحاد والفيحاء واللاعب المعاقب هو طارق حامد انا ابي افهم شيء فوبيا النصر اومتلازمه النصر معشعشه في عقول الاتحاديين  ايش دخل النصر علما ان  المباراه  الموقوف فيها اللاعب ضد الهلال هو المستفيد من ذلك ونرى جمهور الاتحاد يرمي اللوم ع النصر هههه #لجنة_الانضباط_والاخلاق
20,"لعيبة ريال مدريد be like : 
 انفراد اهو وهاسجل واخلص الماتش ...هههه باهزر معاك خد الكورة والعب يمكن تعرف تعمل ريمونتادا"
21,"يا جماعة انا اكتشفت ان فيه قرض مخصوص اسمه قرض عضوية نادي الزمالك
 يعني هيبقي النادي واعضاءه مديونين هههه"
