,tweet
0,"لقطة رائعة من النجوم .. محمد صلاح يواسي حكيمي عقب مباراة مصر والمغرب 
#أخبار_ONTime 
#كلنا_ورا_منتخب_مصر https://t.co/ZZ5hRgeGzc"
1,انتهاء الشوط الاول بين الاهلى و الداخلية بالتعادل السلبى فى كاس مصر..
2,محمد الجارحي: من صغري وأنا بروح ورا الأهلي في أي ماتش
3,"الليلة.. فراعنة اليد في مهمة تحقيق اللقب الإفريقي الثامن أمام الرأس الأخضر 💪🇪🇬
#أخبار_ONTime https://t.co/XqIs8dWy02"
4,نهائيا وبشكل رسمي ابو جبل رحل عن الزمالك
5,أحمد مجاهد: الدوري هيمتد تاني لأغسطس
6,"كولر لجماهير الأهلي: شكرا لدعمكم من كافة أنحاء العالم
#أخبار_ONTime https://t.co/6MV1d3QV3M"
7,الحمد لله
8,للعلم فقط مصطفي محمد لم ينضم لمعسكر المنتخب حتي الآن لانهاء الكشف الطبي واجراءات انضمامه لبوردو الفرنسي بموافقة الكابتن حسام البدرى
9,تحية لإدارة الزمالك على إدارة ملف تجديد أشرف بن شرقي وتقفيلها على الفريق والهدوء الذي تدار بيه الأمور مؤخرًا
10,أحمد عيد عبد الملك: طريقة 4/3/3 هي الخطة الأفضل حاليا في كرة القدم
11,الزمالك: لا صحة لرفض حمودي تخفيض قيمة عقده للانضمام نهائيا للفريق
12,الشناوي 👏
13,أنشيلوتي كلام محترم وعظيم عن الاهلي 👏🏻👏🏻
14,"المجموعة الاولى

-ليبيا
-غينيا
- جمهورية الكنغو الديمقراطية"
15,"لقاء خاص مع سفير مصر في أوغندا وحديث عن مواجهة نادي فيوتشر أمام بطل أوغندا 

#أخبار_ONTime https://t.co/UBjKSlEjrY"
16,"شريف وبيرسي تاو يقودان هجوم الأهلي في التشكيل المتوقع أمام طلائع الجيش
#أخبار_ONTime https://t.co/hEkHoxPdqI"
17,تصريحات محمد مصيلحي رئيس نادي الاتحاد السكندري: سيسيه يخضع للعلاج في كوت ديفوار
18,"2- أضاف مدير الاتحاد أن الأمر نفسه ينسحب على جميع المسئولين بالاتحاد ، حيث لا يعتد بأية حسابات شخصية غير موثقة بالعلامة المعتمدة.
وعلى ذلك أشار اللواء ثروت سويلم أنه لا صحة مطلقة لما أورده أحد المواقع الإلكترونية بتعيين أحد الزملاء الصحفيين مسئولا عن موقع الحكام الذي لا وجود له"
19,"كابتن ايمن يونس غاضبآ:
 هو الاستاذ باسم مرسي ازاى يخرج مع مراته يتفسح قبل ماتش القمة ب٣ ايام 
مش المفروض فى معسكر ؟؟؟!!!!!"
20,"هذا اللاعب هو مفاجأة كولر قبل مواجهة اتحاد المنستيري 👇 .. وتجهيز خاص لكهربا .. وصانع ألعاب الفريق على وشك الرحيل 🔥🔥.. أخبار القلعة الحمراء 🦅🔴

#أخبار_ONTime https://t.co/beBkJZvNOP"
21,كريم بامبو: الأهلي لما يكون كسبان صعب تتعادل
22,مصر تخرج من التصنيف الاول و تصبح تصنيف تانى!!!
23,"تعادل اوغندا وغانا ..... 
مصر 9 نقاط ، أوغندا 8 ، غانا 6 .. فوز مصر غدا على الكونغو بإذن الله يؤهلها لكأس العالم ...... قولوا يا رب"
24,فتح باب الترشح لانتخابات الاهلي من 15 الى 21 اكتوبر والانتخابات يومي 25 و26 نوڤمبر
25,ماهر همام: ساسي سيخسر جمهور الزمالك حال رحيله
26,"ثلاثي جديد ينضم لقائمة منتخب مصر.. تعرف على كل التفاصيل وموعد سفر منتخبنا إلى الكاميرون 

#أخبار_ONTime https://t.co/SNKGBkZ7Zt"
27,"مباريات الجولة الأولى من الدوري👇🏆

الأهلي × الإسماعيلي
الزمالك × إنبي
بيراميدز × مصر المقاصة
فيوتشر × فاركو
سموحة × الاتحاد السكندري
غزل المحلة × المصري
المقاولون العرب × الشرقية للدخان
البنك الأهلي × طلائع الجيش
الجونة × سيراميكا كليوباترا"
28,"مداخلة مع الناقد الرياضي طارق الأدور وحديثه عن مباراة مصر والسنغال في تصفيات المونديال 
#أخبار_ONTime https://t.co/f1DmuAqWvh"
29,عامر حسين: نواجه ظروف صعبة لوضع جدول مباريات الدوري
30,"جاريدو يضع برنامج بدني لتجهيز ياو أنور 
#أخبار_ONTime https://t.co/8YDXdsI6nv"
31,أيمن يونس: لاعبي منتخب مصر قدموا مباريات بطولية ولكنهم ليسوا أبطال أمم إفريقيا.. وفاروق جعفر يرد: هناك مشاكل فنية على كيروش حلها قبل مباراتي السنغال
32,"ثلاث دقائق تفصلنا على صافرة انتصار الفراعنة بإذن الله ...... يارب 

#مشوار_بطل"
33,فاز الاهلي علي الاسماعيلي 5 / 1 فى افتتاح بطولة الجمهورية للشباب 1997وحرس الحدود علي الانتاج وبيراميدز على انبى والنجوم على الطلائع 1 / 0 والمقاصة علي سموحة 2 / 0 وبتروجت علي الزمالك 4 / 2 والاتحاد علي المقاولون 2 / 1 وتقام مباراة الداخلية ودجلة غدا وتأجلت مباراة الجونة والمصري
34,النهاردة كان شئ جميل لمصر وللعالم أجمع، التحدي الحقيقي الآن هو مواجهة كورونا في ظل ذروة التفشي الحالية ولإنك مصر صممت على إقامة البطولة بشكل طبيعي مصر في التنظيم بقت حاجة مبهرة
35,كل بطوله يتم ترشيح البرازيل للفوز باللقب وكل مره يخرجوا بدرى بدرى .. ياترى العيب فينا ولا فيهم؟؟؟
36,"الأصغر في التاريخ .. هنا جودة بطلة إفريقيا لسيدات تنس الطاولة 
#أخبار_ONTime https://t.co/YPGGypvwKg"
37,أحمد حمدي إعارة لمدة عام إلى مونتريال الكندي تحت قيادة الأسطورة الفرنسية تييري هنري.
38,"""كأس مصر فى حب مصر"" شعار قمة الأهلى والزمالك"
39,بعد الفاصل المهندس أحمد مجاهد رئيس اللجنة الثلاثية لإدارة اتحاد الكرة معانا على الهوا ملفات كتيرة هتتفتح وأسئلة كتيرة هنجاوب عليها تابعونا
40,الشناوى واحمد حجازي ومحمود الونش ضمن قائمةًمنتخب مصر في الاولمبياد كل التمنيات بالتوفيق
41,"محمد عواد يؤدى مناسك العمرة مع زوجته

أدى محمد عواد حارس الوحدة السعودى مناسك العمرة برفقة زوجته، ونشر الحارس المصرى صورته بجوار الكعبة عبر حسابه على تويتر وعلق عليها قائلا، ""الحمد لله... جمعة مباركه إن شاء الله"
42,"محمد عبد الجليل: مستوى الأهلي وحش جدا ودا ظهر في البطولة الإفريقية..  الدوري المصري ضعيف جدا وعلى قدنا لكن إفريقيا صعب
#أخبار_ontime https://t.co/fP7GcYpMTG"
43,"مليون و500 ألف جنيه مكافأة البطل.. تعرف على أبرز أخبار واستعدادات فيوتشر وغزل المحلة لنهائي كأس الرابطة 
#أخبار_ONTime https://t.co/AS2DbjVyk2"
44,"طارق يحيى عن استبعاد كريم فؤاد من قائمة المنتخب: عمر جابر يتملك خبرات أكبر منه .. وقد تكون اختياراته قبل تألق كريم مع الأهلي 
#أخبار_ONTime https://t.co/FlY8xcIyKJ"
45,"أحمد ناجى: سياسة التدوير مرفوضة فى حراسة مرمى المنتخب
كشف أحمد ناجى مدرب حراس مرمى منتخب مصر الأول لكرة القدم أنه يرفض سياسة ""التدوير"" فى مركز حراسة مرمى المنتخب"
46,بتمنى التوفيق لكابتن محمد عبد الجليل مع مصر المقاصة
47,"وليد صلاح الدين: بستغرب جدا لما نادي يطلب لاعب من نادي تاني فيطلب 4 لاعبين و 40 مليون 
#أخبار_ONTime https://t.co/rXiDd7EtFO"
48,"""أيمن أشرف أفضل من السعيد للمشاركة في وسط الملعب"".. عبد الستار صبري يوضح رؤيته الفنية لمباراة مصر أمام نيجيريا بأمم إفريقيا 
#أخبار_ONTime https://t.co/3x7dF3ibDz"
49,"حكام مباريات الجمعة في الأسبوع الخامس للدوري
بتروجت × حرس الحدود : محمد الصباحي
نجوم المستقبل × الاسماعيلي : أحمد الغندور
الجونة × الداخلية : محمود ناجي
طلائع الجيش × المقاولون : محمد عادل"
50,السؤال بقه ياترى اتحاد الكوره حيرضى مين ويزعل مين؟
51,اذا كان الكلام من فضه فالسكوت من دهب
52,"الأهلي يكثف محاولاته مع إنبي لإنهاء صفقة مصطفى شلبي
#أخبار_ONTime https://t.co/0cQ95JRHxj"
53,مباراة الاهلي وفلامنجو البرازيلي بطل امريكا الجنوبيه هي الرابعه خلال 11 يوم بعد اللعب امام بطل اوروبا ريال مدريد وبطل قارة امريكا سياتل وبطل الاوقيانوس اوكلاند وهذا قدر البطل لذلك علي جماهير الاهلي ان تساند الفريق ايا كانت النتيجه اعتقد ان كوللر سيدفع بتشكيل جديد ف اللقاء
54,"اتحاد الكرة يستقر على خليفة كلاتنبرج في لجنة الحكام.. تعرف على التفاصيل 
#أخبار_ONTime https://t.co/FT2chchI5n"
55,"الأهلى يتدرب على ملعب 8 مايو بالجزائر قبل مواجهة وفاق سطيف

يؤدى فريق الأهلى مرانه على ملعب 8 مايو بالجزائر يومى 21 و22 أكتوبر الجارى؛ استعدادا لمواجهة وفاق سطيف الجزائرى"
56,الأهلى يعود من تنزانيا ويبدأ الاستعداد لأنبى غداً
57,المنتخب السعودي عامل كل حاجه ف الكوره الا تسجيل الاهداف .. حتييجي ان شاء الله
58,"بعد ثلاثية الزمالك.. تاكيس جونياس يعالج أخطاء لاعبي بيراميدز قبل مواجهة المقاولون 🔵
#أخبار_ONTime https://t.co/t9j2z2xstf"
59,الزمالك يتعادل مع طنطا ٠_٠ و يواصل عروضه السيئة فى الدورى العام
60,شارك في سؤال حلقة الليلة من ملعب أون تايم | بعد نتائج مباريات اليوم في رأيك هل حسم الزمالك لقب الدوري العام؟
61,مبروك تتويج الأهلي بلقب البطولة العربية لكرة السلة رجال بعد الفوز على نادي الكويت الكويتي بنتيجة 78-66
62,الف مليون سلامه علي حبيب الكل القناص والنجم ايمن شوقي من اجمل واجدع الناس اللي ممكن تعرفهم في حياتك
63,"ضياء السيد مدرب عام
محمد شوقي مدرب
عصام الحضري مدرب حراس مرمى"
64,هو الظاهر الاهلي دايما كده يعشق نصف النهائي في البطولات العالميه مبروك للاهلي وجماهيره مبروك لبيبو ومجلس الاداره مبروك لمصر
65,2-- النصر والزمالك : إبراهيم نور الدين ويعاونه تامر رشاد ومحمد العزازي، ومحمد محمود عبد الله حكماً رابعاً، وكل من محمد حسن ومحمود دسوقي حكماً خامساً.
66,"مداخلة خاصة مع حسام مصطفى رئيس اللجنة البارالمبية المصرية ويكشف عن خطط اللجنة الفترة المقبلة

 #أخبار_ONTime https://t.co/Ia377CK3zS"
67,"عاجل..تشكيلة منتخبنا ..
الحضرى 
فتحى   حجازى   جبر    عبد الشافى
طارق   الننى 
تريزيجيه  عبدالله   صلاح
مروان"
68,"إبراهيم عبد الخالق: إمام عاشور أفضل من فرجاني ساسي ""مليون مرة"" 🏹⚡

#أخبار_ONTime
#ONTime_Sports https://t.co/343AYfnOLA"
69,"اتحاد الكرة يترقب وصول فيتوريا لحسم موعد ودية الأرجنتين 

#أخبار_ONTime https://t.co/CSBIIKMkkc"
70,"أول قرار من فيريرا بشأن إبراهيما نداي وزكريا الوردي وموقف عمر كمال من العودة للزمالك

#أخبار_ONTime https://t.co/NFSebwXhLz"
71,"تعرف على أبرز استعدادات المنتخب الوطني قبل مباراتي انجولا والجابون في تصفيات كأس العالم ⬇️🇪🇬
#أخبار_ONTime https://t.co/4T1FQfE8SY"
72,"الزمالك يبدأ الاستعداد لـ فيوتشر.. ونبيه يقود التدريبات.. والنادي يجهز حفل وداع لـ فيريرا بعد رحيله 🏹🏹
#أخبار_ONTime https://t.co/hK2G4mVmgP"
73,سيف الجزيري زملكاوي
74,"تشكيل الجهاز الفني الجديد للأهلي:

سيد عبدالحفيظ .. مديرا للكرة

ريكاردو سواريس .. مديرا فنيا

ماوريسيو فاش مدربًا

سامي قمصان مدربًا

راؤول فاريا مطور أداء

بيدرو جيميرايش مخطط أحمال وأخصائي فسيولوجي

إدواردو لوبو مدرب حراس المرمى

لويس بيريرا محلل أداء الفرق المنافسة"
75,"اتحاد الكرة: إلغاء ترخيص أى نادٍ ينسحب من الدورى أو الكأس

خاطب الاتحاد المصرى لكرة القدم أندية الدورى الممتاز بالتأكيد على عدم مخالفة إجراءات التراخيص الممنوحة لها كشرط أساسى لتجديدها، ويتم بموجب هذه التراخيص المشاركة فى بطولات الأندية الأفريقية"
76,الجهاز الفني للزمالك يطالب المجلس بمعاقبة كهربا
77,"""الأهلي لازم يعيد حساباته"".. مقدمة فتح الله زيدان بعد خسارة الأهلي بطولة إفريقيا من الوداد 
#أخبار_ONTime https://t.co/fG3Y5VdFgn"
78,موسيماني عنده قناعات كبيرة بإمكانيات كهربا
79,"محمد صلاح ودي بروين الأغلى في مواجهة مصر وبلجيكا
#أخبار_ONTime https://t.co/LgQEGxxDUF"
80,اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه وسلم
81,"الجهاز الفني للزمالك يخصص فقرة تأهيلية قوية للاعبين
#أخبار_ONTime https://t.co/h3KU23CHXJ"
82,"أثبتت الأشعة التي أجريت على أحمد حسن ""كوكا"" لاعب المنتخب الوطني بعد إصابته في مباراة أوغندا أن الإصابة عبارة عن كدمة قوية في الكاحل.

وصرح د. محمد أبو العلا طبيب المنتخب الوطني أن اللاعب يحتاج إلى فترة علاج من 5 إلى 7 أيام ، مضيفا أن برنامج العلاج بدأ تنفيذه من مساء أمس."
83,"المقاولون العرب يفاضل بين مختار مختار وطلعت يوسف لخلافة النحاس 

#أخبار_ONTime https://t.co/w18jEKzTA7"
84,"عبد المجيد: ""الشناوي أبلغني بإصابته بالرباط الصليبي بعد اصطدامي به""

أكد محمد عبد المجيد لاعب الاتحاد السكندري أن أحمد الشناوي أبلغه بإصابته بالرباط الصليبي عقب الاصطدام الذي حدث بين الثنائي خلال لقاء الزمالك والاتحاد السكندري"
85,"الزمالك يعلن إعادة مباراته أمام شباب بلوزداد إلى ستاد القاهرة 

#أخبار_ONTime https://t.co/aJ6HMZKjTz"
86,"إنبى: لن نترك حمدى فتحى إلا بـ""شرط"".. وعلى ماهر أعاد اكتشاف اللاعبين

أكد زكريا السيد نائب رئيس نادى إنبى، إن إدارة النادى لن تترك حمدى فتحى لاعب وسط الفريق البترولى، إلا بعد الاطمئنان على هذا المركز وتدعيم الفريق بشكل عام"
87,"حارس السعودية على رأس تشكيل الأفضل في الجولة الأولى من المونديال
#أخبار_ONTime https://t.co/3A3rqhJ2gv"
88,خالص العزاء للزميل العزيز خالد لطيف في وفاة المغفور له شقيقه د محمد لطيف تغمده الله بواسع رحمته
89,برأيكم من الاقرب من صفقات الاهلي الجديده للمشاركه في لقاء السوبر؟؟
90,2-بتروجت ومصر المقاصة : طارق مجدي ويعاونه طه عطا وأحمد العزاوي، وخليفة عبد الله حكماً رابعاً، وكل من محمد علي شطا ووليد عبد الرازق حكماً خامساً.
91,"تشكيل منتخب مصر لمواجهة غينيا: 

حراسة المرمى: محمد أبوجبل.
خط الدفاع: أيمن أشرف - محمود حمدي الونش - ياسر إبراهيم - عمر جابر.
خط الوسط: عمرو السولية - حمدي فتحي - إمام عاشور.
خط الهجوم: محمود حسن تريزيجيه - محمد صلاح - عمر مرموش."
92,المهندس هاني أبو ريدة رئيس الاتحاد المصري لكرة القدم يلقي كلمته في حفل التكريم السعودي للمنتخب الوطني الذي يقام في جدة حاليا
93,صلاح محسن👍
94,الاهلي يعلن عن صفقة بيرسي تاو بعد قليل ثم الاعلان عن صفقة حسام حسن
95,"الدقيقة الاولى  و خروج موفق من شريف اكرامى ي
منع انفراد لمهاجم جيما الاثيوبى 

التعادل السلبى مستمر بين الاهلى و جيما الاثيوبى"
96,مارتن يول يدعم متعب معنوياً فى جلسة الـ20 دقيقة
97,"محمد شكري ظهير الأهلي يعلن رحيله عن سموحة بعد نهاية إعارته 

#أخبار_ONTime https://t.co/0yc9yFQqGP"
98,"أحمد عادل نجم الأهلي الأسبق: الزمالك الأقرب للفوز أمام سموحة في افتتاحية الدوري 
#أخبار_ONTime https://t.co/or4BzN3pBv"
99,"1-أسماء حكام مباريات اليوم (الأربعاء) ضمن الأسبوع التاسع والعشرين لدوري القسم الأول، على النحو التالي : 
- طنطا والاسيوطي : محمد عادل ويعاونه أيمن دجيش وهاني عبد الفتاح، وناصر مطر حكماً رابعاً، وكل من محمود بسيوني ومحمد سلامة حكماً خامساً.
يتبع"
100,"""الكشرى"" على مائدة الأهلى فى الجزائر قبل مواجهة وفاق سطيف

حرص الشيف محمد الدالى المرافق لبعثة الأهلى فى الجزائر على إعداد وجبة الكشرى خلال تواجد البعثة فى الجزائر لخوض مباراة وفاق سطيف بدورى أبطال أفريقيا"
101,"الزمالك يختتم تدريباته اليوم استعدادًا لمباراة إنبي وفيريرا يستقر على إجراء تعديلات في تشكيل 
#أخبار_ONTime https://t.co/ic9KYTBiRr"
102,"صامويل إيتو رئيس الاتحاد الكاميروني لكرة القدم بدأ عمله برسالة قوية لكل المتخاذلين .. إليكم التفاصيل ⬇️😮
#أخبار_ONTime https://t.co/hv8uCsDlcI"
103,جمهور الكرة كله بيسأل ليه بقالنا ٢٥ يوم بنتكلم واتحاد الكرة مش بيرد
104,رأيكم في التشكيل؟
105,التعادل السلبي مستمر بين الاهلى و المصرى ونهاية  الشوط الاول
106,"الزمالك يكثف مفاوضاته مع طلائع الجيش لضم عمرو السيسي.. وفيريرا يبدأ دراسة بطل بوروندي بالفيديو 🏹🏹
#أخبار_ONTime https://t.co/DTvd70t9FE"
107,"ميرهان عمرو تعلن كل التفاصيل الخاصة ببطولة الجونة الدولية للإسكواش 

#أخبار_ONTime https://t.co/PbCq6hYsxu"
108,اختارت لجنة الحكام الرئيسية بالاتحاد المصري لكرة القدم، الحكم محمد معروف لإدارة مباراة إنبي والأهلي التي ستقام غداً (الأحد) ضمن الأسبوع التاسع والعشرين لدوري القسم الأول، ويعاونه أحمد توفيق طلب وعبد الفتاح عريشة، وأشرف مسعد حكماً رابعاً، وكل من حسام الجلاد وسعيد حمزة حكماً خامساً
109,تشكيلة النادى الاهلى
110,الآن حلقة جديدة من برنامج مساء الانوار  وليلة مباراة القمة مع كابتن مدحت شلبى
111,"دي يونج يكشف عن ناديه الجديد.. ومانشستر يونايتد يستهدف ضم موراتا 
#أخبار_ONTime https://t.co/FJGpInbXqF"
112,"مصير ديمبلي وغضب في انجلترا بسبب تأجيل اللقاءات.. جولة في الصحافة العالمية
#أخبار_ONTime https://t.co/PTYfYiFcsM"
113,وجيه أحمد رئيس لجنة الحكام: نتيجة مباراتي القمة غير حاسمتين في مشوار الفريقين بالدوري
114,"علاء عزت: أتمنى انضمام فرجاني ساسي ويوسف أوباما للأهلي
#عمرو_وعلاء_مع_سيف"
115,بطولة كوبا اميركا في مهب الريح بعد اعلان اتحاد امريكا الجنوبيه عدم اقامتها في الارجنتين وسحبها من كولومبيا
116,حازم إمام جاهز لقيادة الزمالك أمام صن داونز
117,كل التوفيق للمنتخب المغربي الشقيق في مباراة كندا اليوم والتأهل الدور الثاني إن شاء الله 🇲🇦✌️
118,بهذا القرار اليوفنتوس يتراجع الي المركز العاشر في الدورى الايطالي .. نفسي اشوف القانون بيطبق في مصر كنا نشوف العجب
119,كيروش:  إيتو نسي أن هناك بعض الكاميرونين ماتوا في الملعب
120,"""اتحاد الكرة"" يخاطب مصر للطيران لتوفير طائرة خاصة لرحلة المنتخب إلى سوازيلاند وتحديد أسعار تذاكر المباراة المقرر اقامتها يوم 12 أكتوبر المقبل بستاد السلام بالقاهرة ضمن الجولة الثالثة للتصفيات نفسها ب 40 جنيها للدجة الموحدة و100 جنيها للدرجة الأولى."
121,"طارق العشري يتحدث عن مباراة الأمس بين الإسماعيلي والزمالك ويشيد بفريق الدراويش لهذا السبب
#أخبار_ONTime https://t.co/k9A5ghhTbZ"
122,توقعاتكم لنتيجة مباراة الأهلي وإنبي في كأس مصر
123,عاجل وصول لاعبى الاهلى الى ستاد السويس
124,"كان الأهم هو تقديم اتحاد الكرة لاستقالته بدل من التضيحة بإيهاب جلال💣💣… فتح الله زيدان يوجه رسائل قوية لأعضاء اتحاد الكرة 🔥🔥

#أخبار_ONTime https://t.co/NR8vqiyLBG"
125,حلمي طولان المدير الفني لإنبي: الهدف الأول للأهلي كان صدمة بالنسبة لي
126,والله حرام المغرب متتعادلش دلوقتي عاملين كل حاجه ف الكوره
127,نفى فرج عامر، رئيس مجلس إدارة نادي سموحة، وجود مفاوضات رسمية مع الأهلي بشأن حسام حسن
128,فينجادا: أتمنى فوز الأهلي بالنهائي الأفريقي
129,شوقي غريب: محمد عبد السلام أقل لاعبي المنتخب الأولمبي مشاركة في مباريات الدوري
130,الإسماعيلى يبدى اهتمامه بضم أحمد ياسر من المصرى
131,حماده طلبه: أتمنى فوز الزمالك بلقب الدوري
132,بدر بانون انتظم من جديد في تدريبات الاهلي
133,كوبر: سنفاجئ نيجيريا بطريقة جديدة فى برج العرب.. ولا بديل عن الفوز
134,"الرؤية الفنية للكابتن عبد الحميد حسن حول النهائي الإفريقي بين الأهلي والوداد
#أخبار_ONTime https://t.co/VyXOG5BJ31"
